Feature,Importance
population_2011,0.658360648824992
flood_severity,0.3269680836879244
district_rainfall,0.007872377428653125
district_encoded,0.003495736287478744
road_accessibility_index,0.0012669195183768293
pop_density,0.0012521189888425252
flood_freq_score,0.0006607763424583896
month_num,4.714922561317871e-05
rainfall_lag_2,2.3435593362751483e-05
rolling_6_month_rain,1.9851427453495123e-05
rolling_3_month_rain,1.8342953581956075e-05
rainfall_lag_1,8.057627254502746e-06
rainfall_lag_3,6.070027799918196e-06
quarter,4.3206620800883417e-07
